 CITS1021-1 + CITS2224-1 + CITS2023-2 + CITS3221-2 + CITS3220-2 + CITS3223-2 + CITS3025-1 + PACM1121-U0 + STAT2021-1 	 1 (2.0%) 
 ACCT1121-2 + CITS1021-1 + CITS1023-2 + CITS2023-2 + FINA1221-1 + FINA2223-2 + MATH1721-1 + STAT1024-1 	 1 (2.0%) 
 CITS1221-1 + CITS1021-1 + CITS2023-2 + ENSC1220-2 + MATH1211-2 + MATH1724-1 + PHYS1234-1 + STAT1023-2 	 1 (2.0%) 
 CITS2223-2 + CITS2023-2 + INDG1153-2 + MATH2221-1 + MATH2231-1 + MUSC1981-1 + STAT3264-1 	 1 (2.0%) 
 CITS1021-1 + CITS2211-2 + CITS2023-2 + CITS3221-2 + CITS3224-1 + CITS3223-2 + SSEH1120-1 + SVLG1227-1 	 1 (2.0%) 
 CITS2023-2 + CITS3220-2 + CITS3021-1 + CITS3025-1 + FINA2227-1 + STAT2021-1 + STAT2023-2 + STAT3260-2 	 1 (2.0%) 
 CITS2021-1 + CITS2023-2 + ENSC2224-1 + ENSC3221-2 + ENSC3224-1 + ENSC3227-2 + MATH1214-1 + MATH3225-2 + PHYS2221-1 	 1 (2.0%) 
 CITS1021-1 + CITS1023-2 + CITS2023-2 + MATH2221-1 + MATH2231-1 + MATH3223-2 + STAT2263-2 	 1 (2.0%) 
 CITS1221-1 + CITS2223-2 + CITS2023-2 + CITS3220-2 + CITS3025-1 + STAT2021-1 	 1 (2.0%) 
 CITS1221-1 + CITS1021-1 + CITS1023-2 + CITS2021-2 + CITS2023-2 + INDG1223-2AA + MATH1211-1 + MATH1214-1 + STAT2263-2 	 1 (2.0%) 
 CITS1021-1 + CITS1023-2 + CITS2224-1 + CITS2023-2 + CITS3220-2 + CITS3025-1 + STAT2021-1 + STAT3260-2 	 1 (2.0%) 
 AACE1223-2AA + CARS1223-2AA + CITS1021-1 + CITS1023-2 + CITS2023-2 + INDG1223-2AA + LAWS1113-2 + PSYC1121-1 + PSYC1123-2 + SCIE1121-1 + STAT1024-1 	 1 (2.0%) 
 CITS1021-1 + CITS1023-2 + CITS2023-2 + MATH2231-1 + SCOM1121-1 + STAT1023-2 + STAT2263-2 + STAT2021-1 	 1 (2.0%) 
 CITS1023-2 + CITS2023-2 + MATH1721-1 	 1 (2.0%) 
 CITS1021-1 + CITS1021-2 + CITS1023-2 + CITS2023-2 + STAT2023-2 	 1 (2.0%) 
 ASIA3223-2 + CITS2023-2 + JAPN2221-1 + JAPN2025-1 + JAPN2020-2 + KORE1021-1 + STAT2021-1 + STAT2023-2 	 1 (2.0%) 
 CITS2023-2 + CITS3025-1 + MATH2221-1 + MATH2231-1 + MATH3223-2 + MATH3220-2 + MATH3233-2 + STAT2021-1 	 1 (2.0%) 
 CITS2023-2 + FINA2227-1 + FINA2229-1 + FINA2223-2 + MKTG1225-1 + SSEH1125-2 + STAT2021-1 + STAT2023-2 	 1 (2.0%) 
 CITS1023-2 + CITS2023-2 + CITS3025-1 + IMED2221-1 + IMED2224-1 + IMED2225-2 + IMED2220-2 + STAT1024-1 	 1 (2.0%) 
 CITS2223-2 + CITS2023-2 + STAT2023-2 + STAT3260-2 	 1 (2.0%) 
 CITS2023-2 + ENSC3211-2 + ENVT2251-2 + FINA1129-2 	 1 (2.0%) 
 CITS2023-2 + CITS3223-2 + CITS3021-1 + CITS3025-1 + MUSC1255-2 + STAT3260-2 	 1 (2.0%) 
 CITS2224-1 + CITS2211-2 + CITS2023-2 + CITS3220-2 + CITS3021-1 + ECON1121-1 + STAT2021-1 + STAT2023-2 	 1 (2.0%) 
 CITS2023-2 + ECON1124-1 + PSYC2225-1 + PSYC2217-1 + STAT2021-1 + STAT2023-2 + STAT3260-2 	 1 (2.0%) 
 CITS2023-2 + ENSC2221-1 + ENSC2224-1 + ENSC3216-2 + GCRL2223-2 + MATH3225-2 + MGMT1135-1 + PSYC1123-2 + STAT2021-1 	 1 (2.0%) 
 ARTF1254-1 + CITS2023-2 + CITS3021-1 + MGMT1136-1 + STAT2021-1 + STAT2023-2 + STAT3260-2 	 1 (2.0%) 
 CITS2023-2 + FINA1129-2 + FINA2225-1 + FINA2229-1 + FINA3320-1 + INDG1153-2 + STAT2021-1 + STAT2023-2 	 1 (2.0%) 
 CITS2023-2 + CITS3223-2 + CITS3021-1 + FINA3327-2 + FINA3320-1 + STAT3260-2 	 1 (2.0%) 
 CITS1221-1 + CITS1021-1 + CITS1023-2 + CITS2223-2 + CITS2211-2 + CITS2023-2 + KORE3025-1 + STAT1024-1 	 1 (2.0%) 
 AACE1223-2AA + ACCT1121-1 + CARS1223-2AA + CITS1021-1 + CITS2023-2 + ECON1121-1 + FINA1221-2 + INDG1223-2AA + MGMT1135-2 + MKTG1225-2 + STAT1524-1 	 1 (2.0%) 
 CITS1021-1 + CITS1023-2 + CITS2223-2 + CITS2224-1 + CITS2211-2 + CITS2023-2 + CITS3025-1 + STAT1024-1 	 1 (2.0%) 
 ACCT1121-1 + CITS1221-2 + CITS1021-1 + CITS1023-2 + CITS2023-2 + FINA1221-1 + MATH1723-2 + STAT1024-1 	 1 (2.0%) 
 CITS1221-1 + CITS1021-1 + CITS1023-2 + CITS2223-2 + CITS2023-2 + PSYC1121-1 + STAT1024-1 + STAT2023-2 	 1 (2.0%) 
